text,text_clean,label,register,prompt_id,token_count_original,token_count_clean,total_tokens,count_noun,ratio_noun,count_verb,ratio_verb,count_adj,ratio_adj,count_adv,ratio_adv,count_propn,ratio_propn,count_num,ratio_num,text_domain,domain_token_count,domain_coverage,core_informality,institutions_actors,legal_regulatory,social_protection,labor_conditions,critical_framing
"In Colombia, the share of workers lacking formal contract registration remained at 57.3 percent in the most recent survey period, with marked disparities between urban and rural labor markets.",colombia share worker lack formal contract registration remain percent recent survey period mark disparity urban rural labor market,0,institutional,A001,29,18,29,10,0.3448,3,0.1034,4,0.1379,1,0.0345,1,0.0345,1,0.0345,worker formal contract registration urban rural labor market,8,0.4444,1,1,3,0,3,0
"Social protection coverage among own-account workers in the informal sector continues to fall below statutory thresholds, with pension affiliation rates particularly low among the self-employed.",social protection coverage account worker informal sector continue fall statutory threshold pension affiliation rate particularly low self employ,0,institutional,A002,25,18,27,10,0.3704,3,0.1111,5,0.1852,1,0.037,0,0.0,0,0.0,protection coverage worker informal statutory threshold pension affiliation,8,0.4444,1,1,2,4,0,0
Labor formality indicators for the 13 main metropolitan areas show stagnation in employer compliance with mandatory contribution obligations to health and pension systems.,labor formality indicator main metropolitan area stagnation employer compliance mandatory contribution obligation health pension system,0,institutional,A003,23,15,23,12,0.5217,1,0.0435,3,0.1304,0,0.0,0,0.0,1,0.0435,labor formality metropolitan employer compliance contribution obligation health pension,9,0.6,0,1,3,3,2,0
"The incidence of informal employment is disproportionately concentrated among workers with incomplete secondary education, suggesting a structural link between human capital and formality status.",incidence informal employment disproportionately concentrated worker incomplete secondary education suggest structural link human capital formality status,0,institutional,A004,24,16,24,8,0.3333,1,0.0417,6,0.25,1,0.0417,0,0.0,0,0.0,informal employment worker structural formality,5,0.3125,2,1,1,0,0,1
Disaggregated data reveal that women in domestic service occupations exhibit the lowest rates of formal contract status and social security affiliation across all employment categories.,disaggregate datum reveal woman domestic service occupation exhibit low rate formal contract status social security affiliation employment category,0,institutional,A005,25,18,25,11,0.44,3,0.12,4,0.16,0,0.0,0,0.0,0,0.0,reveal woman domestic formal contract affiliation employment,7,0.3889,1,0,2,1,2,1
"Microenterprises with fewer than five employees account for approximately 68 percent of all informal employment units, as measured by registration with the national tax authority.",microenterprise few employee account approximately percent informal employment unit measure registration national tax authority,0,institutional,A006,25,14,25,8,0.32,2,0.08,3,0.12,1,0.04,0,0.0,2,0.08,employee informal employment registration,4,0.2857,2,1,1,0,0,0
"Transitions from informal to formal employment remain infrequent, with longitudinal panel data indicating that fewer than 12 percent of informal workers achieve formal status within a three-year observation window.",transition informal formal employment remain infrequent longitudinal panel datum indicate few percent informal worker achieve formal status year observation window,0,institutional,A007,29,20,30,10,0.3333,3,0.1,7,0.2333,0,0.0,0,0.0,2,0.0667,informal formal employment informal worker formal,6,0.3,3,1,2,0,0,0
The prevalence of verbal rather than written employment agreements undermines enforceability of labor protections and compromises the accuracy of official labor formality estimates.,prevalence verbal write employment agreement undermine enforceability labor protection compromise accuracy official labor formality estimate,0,institutional,A008,23,15,23,10,0.4348,3,0.1304,2,0.087,1,0.0435,0,0.0,0,0.0,employment labor protection labor formality,5,0.3333,1,0,1,1,2,0
"Young workers aged 18 to 24 exhibit the highest informality incidence at 71 percent, pointing to entry-level labor market barriers that preclude formal sector absorption.",young worker age exhibit high informality incidence percent point entry level labor market barrier preclude formal sector absorption,0,institutional,A009,25,18,26,11,0.4231,4,0.1538,3,0.1154,0,0.0,0,0.0,3,0.1154,worker informality labor market formal,5,0.2778,2,1,1,0,1,0
"Regional heterogeneity in informality rates reflects differential enforcement capacity of labor inspection bodies, with Pacific and Atlantic coast departments recording persistently elevated informality indicators.",regional heterogeneity informality rate reflect differential enforcement capacity labor inspection body pacific atlantic coast department record persistently elevated informality indicator,0,institutional,A010,24,20,24,12,0.5,2,0.0833,3,0.125,1,0.0417,2,0.0833,0,0.0,informality labor informality,3,0.15,2,0,0,0,1,0
"The national employment survey methodology was revised to align contract status variables with ILO measurement standards, enabling improved cross-national comparability of formality indicators.",national employment survey methodology revise align contract status variable ilo measurement standard enable improved cross national comparability formality indicator,0,institutional,A011,23,19,24,11,0.4583,3,0.125,4,0.1667,0,0.0,1,0.0417,0,0.0,employment contract ilo formality,4,0.2105,1,1,2,0,0,0
Workers classified as contributing to a health system but not to the pension system occupy an intermediate formality status that complicates binary categorizations in official reporting.,worker classify contribute health system pension system occupy intermediate formality status complicate binary categorization official reporting,0,institutional,A012,26,16,26,9,0.3462,4,0.1538,3,0.1154,0,0.0,0,0.0,0,0.0,worker health pension formality,4,0.25,0,1,1,2,0,0
Analytical decomposition of informality differentials indicates that sectoral composition effects account for a larger share of the rural-urban gap than individual-level worker characteristics.,analytical decomposition informality differential indicate sectoral composition effect account large share rural urban gap individual level worker characteristic,0,institutional,A013,23,18,25,10,0.4,2,0.08,6,0.24,0,0.0,0,0.0,0,0.0,informality rural urban worker,4,0.2222,1,1,0,0,2,0
"Enforcement of the minimum wage floor remains incomplete in informal employment relationships, with a significant proportion of informal workers reporting earnings below the statutory minimum.",enforcement minimum wage floor remain incomplete informal employment relationship significant proportion informal worker report earning statutory minimum,0,institutional,A014,25,17,25,9,0.36,2,0.08,6,0.24,0,0.0,0,0.0,0,0.0,wage informal employment informal worker earning statutory,7,0.4118,3,1,1,0,2,0
"Policy evaluations of formalization incentive programs suggest modest short-term uptake gains, with limited evidence of sustained formal employment retention among participating firms.",policy evaluation formalization incentive program suggest modest short term uptake gain limited evidence sustained formal employment retention participate firm,0,institutional,A015,22,19,23,12,0.5217,2,0.087,5,0.2174,0,0.0,0,0.0,0,0.0,policy formalization evidence formal employment,5,0.2632,1,0,3,0,0,1
"Informal employment among migrants from Venezuela exhibits distinct characteristics, with lower social protection coverage and higher concentration in day-labor and piece-rate arrangements than comparable domestic workers.",informal employment migrant venezuela exhibit distinct characteristic low social protection coverage high concentration day labor piece rate arrangement comparable domestic worker,0,institutional,A016,26,21,28,12,0.4286,1,0.0357,7,0.25,0,0.0,1,0.0357,0,0.0,informal employment migrant protection coverage labor domestic worker,8,0.381,2,1,0,2,3,0
The underreporting of informal employment relationships in enterprise surveys reflects measurement limitations associated with voluntary self-declaration of contract status by employers.,underreporting informal employment relationship enterprise survey reflect measurement limitation associate voluntary self declaration contract status employer,0,institutional,A017,21,16,22,12,0.5455,2,0.0909,2,0.0909,0,0.0,0,0.0,0,0.0,informal employment contract employer,4,0.25,2,1,1,0,0,0
"Formalization rates in the construction sector declined following the withdrawal of targeted payroll tax reductions, indicating sensitivity of formal employment levels to contribution cost structures.",formalization rate construction sector decline follow withdrawal target payroll tax reduction indicate sensitivity formal employment level contribution cost structure,0,institutional,A018,25,19,25,13,0.52,5,0.2,1,0.04,0,0.0,0,0.0,0,0.0,formalization formal employment contribution cost,5,0.2632,1,0,2,1,1,0
"Occupational segregation data show that informal workers are overrepresented in elementary occupations, craft trades, and personal services relative to their share in the total employed population.",occupational segregation datum informal worker overrepresente elementary occupation craft trade personal service relative share total employ population,0,institutional,A019,26,17,26,9,0.3462,3,0.1154,6,0.2308,0,0.0,0,0.0,0,0.0,informal worker,2,0.1176,1,1,0,0,0,0
"Longitudinal tracking of workers exiting unemployment spells reveals that informal employment is the most frequent re-entry point, particularly among workers over 45 with vocational rather than tertiary credentials.",longitudinal tracking worker exit unemployment spell reveal informal employment frequent entry point particularly worker vocational tertiary credential,0,institutional,A020,28,17,29,10,0.3448,2,0.069,5,0.1724,3,0.1034,0,0.0,1,0.0345,worker reveal informal employment worker,5,0.2941,2,2,0,0,0,1
The proportion of workers in Colombia engaged in own-account employment without affiliation to the general social security system stood at 43.1 percent according to the most recent quarterly household survey.,proportion worker colombia engage account employment affiliation general social security system stand percent accord recent quarterly household survey,0,institutional,A021,30,18,31,10,0.3226,3,0.0968,5,0.1613,1,0.0323,1,0.0323,1,0.0323,worker employment affiliation,3,0.1667,1,1,0,1,0,0
"Compliance with mandatory severance fund contributions among small and medium enterprises remains below the statutory threshold, particularly in retail trade and personal services subsectors.",compliance mandatory severance fund contribution small medium enterprise remain statutory threshold particularly retail trade personal service subsector,0,institutional,A022,24,17,24,9,0.375,1,0.0417,6,0.25,1,0.0417,0,0.0,0,0.0,compliance severance contribution statutory threshold,5,0.2941,0,0,3,2,0,0
Administrative records from the national health insurance regulator indicate that contributory regime enrollment among informal workers declined by 2.4 percentage points over the reference period.,administrative record national health insurance regulator indicate contributory regime enrollment informal worker decline percentage point reference period,0,institutional,A023,25,17,25,11,0.44,2,0.08,2,0.08,0,0.0,2,0.08,1,0.04,health informal worker,3,0.1765,1,1,0,1,0,0
"The formality gap between the ten largest urban centers and intermediate municipalities widened over the past decade, reflecting uneven labor market development across the national territory.",formality gap large urban center intermediate municipality widen past decade reflect uneven labor market development national territory,0,institutional,A024,26,17,26,9,0.3462,2,0.0769,6,0.2308,0,0.0,0,0.0,1,0.0385,formality urban municipality labor market,5,0.2941,1,1,1,0,2,0
"Workers in temporary employment arrangements exhibit formality rates approximately 30 percentage points lower than those in permanent positions, controlling for sector and firm size.",worker temporary employment arrangement exhibit formality rate approximately percentage point low permanent position control sector firm size,0,institutional,A025,24,17,24,10,0.4167,2,0.0833,4,0.1667,1,0.0417,0,0.0,1,0.0417,worker employment formality,3,0.1765,1,1,1,0,0,0
Household survey data indicate that secondary earners within multi-income households are disproportionately concentrated in informal employment relative to primary earners.,household survey datum indicate secondary earner multi income household disproportionately concentrate informal employment relative primary earner,0,institutional,A026,20,16,21,8,0.381,2,0.0952,5,0.2381,1,0.0476,0,0.0,0,0.0,income informal employment,3,0.1875,2,0,0,0,1,0
"The rate of contribution to the family compensation fund among informal sector workers remains negligible, limiting their access to subsidized childcare, housing, and recreational services.",rate contribution family compensation fund informal sector worker remain negligible limit access subsidized childcare housing recreational service,0,institutional,A027,25,17,25,11,0.44,2,0.08,4,0.16,0,0.0,0,0.0,0,0.0,contribution informal worker,3,0.1765,1,1,0,1,0,0
